LineName    RestFreq    SysFreq     Intensity
SiO_v=1_J=5-4   215.596     214.538 150
CO_v=0_J=2-1    230.538     229.407 70
SiO_v=0_J=5-4   217.105     216.04  1.6
SiO_v=2_J=8-7   342.504     340.824 NA
CO_v=1_J=3-2    342.648     340.967 70
SiC2_v=0_J=15-14  342.805   341.123 26.3
CS_v=0_J=7-6    342.883     341.201 9.65
SiO_v=1_J=8-7   344.916     343.224 NA
CO_v=0_J=3-2    345.796     344.1   70
SiO_v=0_J=8-7   347.331     345.637 6.81
HCN_v=0_J=4-3   354.505     352.766 17.4 
HCO+_v=0_J=4-3  356.734     354.984 17.4 
